"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteria_Firmicutes_Bacilli_Exiguobacterales_Exiguobacteraceae_Exiguobacterium",118.161044423098,-0.382299987495054,1.83227963090371,-0.208647185204203,0.834723672677824,0.976590442099435
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Granulicatella",14.1388234807094,-0.29352750509553,3.20583327793744,-0.0915604398755193,NA,NA
"Bacteria_Firmicutes_Bacilli_Paenibacillales_Paenibacillaceae_Paenibacillus",89.5783078119649,0.748561064456421,2.07612207890831,0.360557344898542,0.718430381059641,0.958427506152451
"Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae_Staphylococcus",91.5918209277571,-1.08788223128474,1.46089454250702,-0.744668557264811,0.456472111722849,0.859461109241689
"Bacteria_Patescibacteria_Gracilibacteria_Candidatus Peregrinibacteria_",3.60102055304445,-5.62001390581712,3.39560598879111,-1.65508422483904,NA,NA
"Bacteria_Patescibacteria_Parcubacteria_Candidatus Kaiserbacteria_",18.3666889091041,3.24290990101421,2.77523281433687,1.16851814531066,0.24259782434298,0.639746596158757
"Bacteria_Patescibacteria_Saccharimonadia_Saccharimonadales_LWQ8_",46.5919500860389,-1.07952933775574,2.00513452227712,-0.538382500406895,0.590313005201065,0.941773944320733
"Bacteria_Planctomycetota_Planctomycetes_Isosphaerales_Isosphaeraceae_",32.7345368331942,1.15817165957468,1.72790734359985,0.670274169424961,0.502683030288492,0.860011931336938
"Bacteria_Planctomycetota_Planctomycetes_Pirellulales_Pirellulaceae_",13.2173452320403,0.501967717551379,2.88914345609599,0.173742745965848,0.862067641964556,0.976590442099435
"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium",9.41021590158769,-0.577774913873375,2.62546587001618,-0.22006567309512,0.825820008372904,0.976590442099435
"Bacteria_Proteobacteria_Alphaproteobacteria_Micropepsales_Micropepsaceae_",73.6889947565268,0.502138844167361,1.48384773556047,0.338403214921305,0.735059351741193,0.958427506152451
"Bacteria_Proteobacteria_Alphaproteobacteria_Micropepsales_Micropepsaceae_Micropepsis",27.3140092903972,0.312996456770087,1.46047981098764,0.214310704205096,0.830304771206717,0.976590442099435
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_Methylobacterium-Methylorubrum",8.54888688519248,1.41517010868788,2.92038771318846,0.484582955303152,0.627972206782084,0.955749367665317
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Devosiaceae_Devosia",42.15189383139,0.71030451260177,2.27294598122663,0.312503912749586,0.754657589914859,0.972646245917779
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Hyphomicrobium",72.2640391337462,0.0192835126984581,1.77056484431451,0.0108911643424864,0.991310279914392,0.994450533095528
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",100.170014063727,1.05539120362784,2.36156476983589,0.446903348622184,0.654944846088918,0.955749367665317
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Aureimonas",8.36366063932905,-20.6819237113597,3.38865549729677,-6.10328306546897,NA,NA
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_",116.209208464548,0.665208970106587,1.45801049569872,0.456244294584313,0.648214316557192,0.955749367665317
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Afipia",9.30406325781464,-0.973427963857914,2.61611903786246,-0.372088559339129,0.709826914113135,0.958427506152451
"Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales_Mitochondria_",64363.7522962148,-1.22382971077265,1.35322488719365,-0.904380138404526,0.365793866157329,0.769724014779931
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium",36.9412360987236,0.721459419687284,2.02745388975082,0.355845044533148,0.721956613423655,0.958427506152451
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingobium",8.46850745962643,-6.84876754534878,3.08385449359261,-2.22084652812855,0.0263613579615556,0.562322751017042
"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas",1007.45523925104,0.675403672473446,1.5366390159367,0.439533075412469,0.660275321411416,0.955749367665317
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_",107.82442926044,1.93233750979432,2.05134124715627,0.941987352164384,0.346199115364455,0.766160649649634
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Bordetella",213.037325871697,2.71432665800375,1.77217342600361,1.53163715140723,0.125611999362164,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Paralcaligenes",87.6003465479347,1.49546780055677,2.29590994903962,0.651361696996143,0.514813030044462,0.870279169837067
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Parapusillimonas",17.7511130343751,1.53321025194643,2.23667987877355,0.685484886101421,0.493037994722569,0.860011931336938
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Pusillimonas",16.5237699295169,1.81711473287722,2.2435156279599,0.809940751127986,0.417974229126312,0.824338062999116
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Burkholderiaceae_",4.20245928983995,-5.84267573346931,3.35372377013695,-1.74214578597531,0.0814829376088739,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia-Caballeronia-Paraburkholderia",1868.39539264448,1.00275803598547,1.60671291513697,0.624105293819703,0.53255843752588,0.889685860337352
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_Tepidimonas",1.39394343988818,-4.25735919764859,3.41470589978576,-1.24677185168881,0.212481164375182,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Neisseriaceae_",8.7121464993011,-21.4460062843331,3.38844621874379,-6.32915646283561,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia",40.3227178965002,-0.685474365499412,2.60737777841038,-0.262897985545201,0.792629209018327,0.976590442099435
"Bacteria_Proteobacteria_Gammaproteobacteria_Diplorickettsiales_Diplorickettsiaceae_Aquicella",4.01769965383754,0.726707331480585,3.26911058752856,0.222295120346471,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella",4.18183031966453,-5.83514270385148,3.3939150945645,-1.71929542763067,NA,NA
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter",89.1868094157632,-2.19704441848751,1.70585994961229,-1.28793950463921,0.197767022482594,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Enhydrobacter",67.9963542508115,-2.47872849288103,1.71787731022443,-1.44290193375754,0.149048098355762,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",118.212157322631,-0.481073372584584,1.78594479716133,-0.269366317116423,0.787647803567465,0.976590442099435
"Bacteria_Proteobacteria_Gammaproteobacteria_Salinisphaerales_Solimonadaceae_Solimonas",116.16738680037,0.705874612291522,1.73464521901123,0.406927367369035,0.684061334952763,0.958427506152451
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_Dokdonella",16.5797269870949,-0.187322116546578,2.28938015312304,-0.081822198157455,0.934788103681763,0.994450533095528
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_Dyella",320.559015799258,2.88140720573891,2.46852348508993,1.16725938527335,0.243105635177565,0.639746596158757
"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_Luteibacter",12.8498365270262,1.48578664748791,2.87279042925025,0.51719284231801,0.605021548092427,0.944099558561809
