tax_id	abundance	lineage	estimated counts
13146	6.994951565755384e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;lindaniclasticus;	29.471059987324924
1920	8.478552684536559e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;lwoffii;	35.72175338496258
15804	0.00012820208447092898	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;	54.013974027207325
4462	0.00013383240756978797	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;	56.38613612489549
16920	2.523314168117948e-05	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans;	10.631202019972857
7512	7.122338026162722e-05	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;ginsengisoli;	30.007763348448517
7663	0.00018054063298448436	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;spathiphylli;	76.06519894838996
5183	0.00031118239694067067	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;	131.10705629664642
3001	7.104974224773313e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia;	29.934606354072674
179	0.0002034343011593434	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;	85.7107363301534
6702	6.192877625710683e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;	26.091770083867992
15790	0.00017093611262790532	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aureimonas;altamirensis;	72.01863203627644
42	9.02162816647278e-05	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;lichenia;	38.00983357470145
185	6.410104223546434e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;	27.006987013603602
7851	4.0359915481588755e-05	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;	17.00439923078749
7206	0.00011633156700178487	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;	49.012699477625
745	7.99216219425406e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;	33.67249783520926
1487	5.598657383226042e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;petrii;	23.588207300434128
16316	9.259039434011538e-05	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;	39.01009235298307
576	0.0001733102253032929	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;	73.01889081455806
2323	0.00012345385912015385	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Nubsella;	52.0134564706441
8793	9.908352904634312e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Solimonas;terrae;	41.74577337427624
7653	0.00013723037307205452	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Solimonas;soli;	57.817763552344935
11	5.46045915339142e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;	23.005951900477196
4459	7.122338026162722e-05	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;	30.007763348448517
16709	2.8489352104650887e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;taiwanensis;	12.003105339379408
4961	2.8489352104650887e-05	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;	12.003105339379408
4219	0.00010208684504166568	Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;	43.01112746610954
656	4.5108034467779294e-05	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;	19.004871973930303
10726	4.510824719694852e-05	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;boryungensis;	19.004961600771153
5986	6.884926762957076e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Luteibacter;	29.00750458842312
13273	0.00011836280111824931	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;ginsengisegetis;	49.86849700433968
10481	9.0462965179482e-05	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;taiwanensis;	38.11376602645417
928	0.00015916178346724952	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;	67.0578834486381
4258	4.748225350775148e-05	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;extorquens;	20.005175565632346
147	7.97718922952036e-05	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;	33.60941388992289
8859	0.0001353243765909641	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;	57.0147310209284
1286	3.5238588514727576e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Pusillimonas;	14.846686874436507
527	2.8489352104650887e-05	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter-Flavimobilis;	12.003105339379408
6084	2.8489352104650887e-05	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;	12.003105339379408
6882	0.00011158329557604639	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;	47.01216250880429
7148	0.00014219901868026626	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;saccharolyticus;	59.9111483513511
6516	8.309394363856509e-05	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidipila-Silvibacterium;	35.0090572398566
18281	5.570195695427396e-05	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Solimonas;	23.46829280201775
