JGI ID,Genus,Family,Order,Class,Phylum
Rhidi1,Rhizophagus,Glomeraceae,Glomerales,Glomeromycetes,Mucoromycetes
Rhier1,Rhizoscyphus,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycetes
Rhyco1,Rhynchosporium,Ploettnerulaceae,Helotiales,Leotiomycetes,Ascomycetes
Rhyag1,Rhynchosporium,Ploettnerulaceae,Helotiales,Leotiomycetes,Ascomycetes
Rhyse1,Rhynchosporium,Ploettnerulaceae,Helotiales,Leotiomycetes,Ascomycetes
Schco1,Schizophyllum,Schizophyllaceae,Agaricales,Agaricomycetes,Basidiomycetes
Sclci1,Scleroderma,Sclerodermataceae,Boletales,Agaricomycetes,Basidiomycetes
Sclsc1,Sclerotinia,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycetes
Sebve1,Serendipita,Serendipitaceae,Sebacinales,Agaricomycetes,Basidiomycetes
Sindi4,Serendipita,Serendipitaceae,Sebacinales,Agaricomycetes,Basidiomycetes
Sodal1,Sodiomyces,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Sorhu1,Sordaria,Sordariaceae,Sordariales,Sordariomycetes,Ascomycetes
Spore1,Sporisorium,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Spogr1,Sporisorium,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Stael1,Stachybotrys,Stachybotryaceae,Hypocreales,Sordariomycetes,Ascomycetes
Stano2,Stagonospora,Massarinaceae,Pleosporales,Dothideomycetes,Ascomycetes
Stely1,Stemphylium,Pleosporaceae,Pleosporales,Dothideomycetes,Ascomycetes
Thite2,Thielavia,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycetes
Tilin1,Tilletia,Tilletiaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Trave1,Trametes,Polyporaceae,Boletales,Agaricomycetes,Basidiomycetes
Triat2,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycetes
Trire2,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycetes
TriviGv29_8_2,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycetes
Truan1,Truncatella,Sporocadaceae,Xylariales,Sordariomycetes,Ascomycetes
Tubae1,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycetes
Tubma1,Tuber,Tuberaceae,Pezizales,Pezizomycetes,Ascomycetes
Tulca1,Tulasnella,Tulasnellaceae,Cantharellales,Agaricomycetes,Basidiomycetes
Ustma2_2,Ustilago,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Usthor1,Ustilago,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Ustbr1,Ustilago,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
U_tricho_v1,Ustilago,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycetes
Verdah1,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Veral1,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Verda1,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
VerdaJR2,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycetes
Zymtr1,Zymoseptoria,Mycosphaerellaceae,Mycosphaerellales,Dothideomycetes,Ascomycetes
Zpa63,Zymoseptoria,Mycosphaerellaceae,Mycosphaerellales,Dothideomycetes,Ascomycetes
Mycgr3,Zymoseptoria,Mycosphaerellaceae,Mycosphaerellales,Dothideomycetes,Ascomycetes
Olipa1,,,Auriculariales,Agaricomycetes,Basidiomycetes
Phimu1,,,incertae sedis,Leotiomycetes,Ascomycetes
Helo229,,,Helotiales,Leotiomycetes,Ascomycetes
Pirin1,Serendipita,Serendipitaceae,Sebacinales,Agaricomycetes,Basidiomycetes
